2018-04-13 16:42:05,274 [1] INFO  WebCrawler.Program - 文章采集系统开始...
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:25,587 [4] ERROR WebCrawler.DoMain.Crawler - React,文章内容采集失败,地址:https://blog.csdn.net/Amen_Wu/article/details/78865222
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:25,609 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React第三方组件1(路由管理之Router的使用①简单使用)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:25,719 [4] ERROR WebCrawler.DoMain.Crawler - React,文章详情采集失败,地址:https://blog.csdn.net/zhangsheXIN_/article/details/79231189
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:25,743 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React官方文档—7.事件处理??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:25,790 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React项目配置2(自己封装Ajax)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:25,813 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React技巧3(如何优雅的渲染一个List)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:25,860 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:ReactNative初探??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:25,881 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React第三方组件2(状态管理之Refast的使用⑤LogicRender使用)??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:25,904 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:React-basicknowledge??-?CSDN博客
 WebCrawler.DoMain.Crawlername2018-04-13 16:42:25,948 [4] WARN  WebCrawler.DoMain.Crawler - React,存在相同【标题】的文章:vue-cli的webpack配置，迁移适用到react开发配置webpack??-?CSDN博客
