2017-12-07 08:36:04,366 [1] INFO  WebCrawler.Services.Program - 文章采集系统开始...
 WebCrawler.Services.Programname2017-12-07 08:36:05,242 [4] INFO  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:20,674 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-06 10:56银光集团成功开发并量产大截面、高精度、超长镁合金列车型材
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:20,793 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-06 10:45河南永登铝业精益管理系统获中国有色金属工业企业管理现代化成果二等奖
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:20,928 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-03 13:00云铜集团在中铝创新创意大赛西南片区复赛中荣获第二名
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:21,048 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-03 12:48科学家们研发新型水基锂电池 防爆防火
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:21,153 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-03 12:46紫金铜业阴极铜获评福建省名牌产品
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:21,260 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-02 14:50北方稀土与厦门钨业签署战略合作框架协议
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:21,374 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-02 14:55我国钛白粉应用检测水平国际先进 业内首家CNAS认证实验室诞生
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:21,653 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-02 14:50江铜集团荣获江西省首届“赣鄱慈善奖”
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:21,766 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-02 14:17钕铁硼上市企业前三季度净利润同比下降
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:21,883 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-01 14:16北方稀土与包钢股份重新签订稀土合同
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:22,031 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-01 13:44国家重点研发计划“轻质高强镁合金集成计算与制备”项目成功召开
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:22,145 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-01 13:32博天环境成功攻克铝土选矿废水处理与回用难题
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:22,273 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:10-31 14:16工信部公布《产业关键共性技术发展指南》
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:22,411 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:10-31 13:59南方稀土集团10月30日中重稀土挂牌价
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:22,517 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:10-31 13:38运城市专题研究国家新型铝镁合金基地建设方案
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:22,625 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:10-31 13:34中科院上海硅酸盐所等研制出新型耐高温锂电池隔膜
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:22,732 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:10-31 13:25云南冶金集团多种涉铝科技计划项目顺利通过验收
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:22,866 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:10-31 13:18张家港铜业工艺技术进一步提升
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:23,090 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:10-31 13:14LME将推出新的硫酸镍合同迎接电动汽车时代
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:23,199 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:10-31 09:55包头稀土高新区主要稀土产品产量保持增长
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:23,311 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:10-30 13:57矿山环境治理和土地整理的PPP模式辨析
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:23,417 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:10-30 13:57中科院过程所与亘源环保开展合作 深入研究废铝灰等物质的循环利用
